연도,날짜,지점,관측값
2011,108,서울,0.2
2011,111,서울,1.9
2011,114,서울,1.1
2011,122,서울,0.4
2011,123,서울,5.3
2011,217,서울,0.1
2011,227,서울,28.5
2011,228,서울,0.5
2011,301,서울,2.3
2011,320,서울,5
2011,324,서울,5.8
2011,328,서울,1.5
2011,407,서울,7
2011,410,서울,1.5
2011,415,서울,0.1
2011,418,서울,2
2011,422,서울,19
2011,426,서울,2.5
2011,427,서울,5
2011,429,서울,4
2011,430,서울,69
2011,506,서울,0.5
2011,507,서울,3.5
2011,509,서울,4
2011,510,서울,6.5
2011,511,서울,14
2011,519,서울,0.4
2011,520,서울,15
2011,521,서울,2
2011,531,서울,7.5
2011,601,서울,21.5
2011,604,서울,0.5
2011,608,서울,1.5
2011,613,서울,0.5
2011,615,서울,1
2011,622,서울,16
2011,623,서울,41
2011,624,서울,10.5
2011,625,서울,37
2011,626,서울,40
2011,627,서울,11.5
2011,628,서울,0.5
2011,629,서울,177
2011,630,서울,46
2011,703,서울,115
2011,707,서울,42.5
2011,708,서울,13
2011,709,서울,15
2011,710,서울,6
2011,711,서울,42.5
2011,712,서울,51.5
2011,713,서울,29
2011,714,서울,38
2011,715,서울,15
2011,716,서울,54.5
2011,717,서울,1
2011,722,서울,1.5
2011,723,서울,3
2011,724,서울,8
2011,725,서울,27.5
2011,726,서울,171
2011,727,서울,301.5
2011,728,서울,115
2011,729,서울,7.5
2011,731,서울,73
2011,801,서울,0.5
2011,802,서울,0.5
2011,803,서울,41.5
2011,804,서울,10
2011,806,서울,1.5
2011,807,서울,4.5
2011,808,서울,39.5
2011,810,서울,0.3
2011,812,서울,19.5
2011,813,서울,6.5
2011,814,서울,9.5
2011,815,서울,0.5
2011,816,서울,16
2011,817,서울,4
2011,820,서울,0.5
2011,822,서울,3.5
2011,830,서울,8.5
2011,909,서울,2.5
2011,918,서울,0.5
2011,919,서울,0.1
2011,929,서울,22.5
2011,1014,서울,5
2011,1015,서울,20
2011,1016,서울,0.5
2011,1024,서울,1.5
2011,1029,서울,5
2011,1104,서울,1
2011,1105,서울,0.1
2011,1106,서울,12
2011,1111,서울,1
2011,1118,서울,6
2011,1119,서울,0.2
2011,1122,서울,0.1
2011,1123,서울,4.5
2011,1128,서울,0.3
2011,1129,서울,1
2011,1130,서울,30
2011,1202,서울,1.5
2011,1203,서울,3.5
2011,1221,서울,0.7
2011,1223,서울,0.6
2011,1224,서울,0.5
2011,1228,서울,0.3
2012,103,서울,0.4
2012,119,서울,0.2
2012,120,서울,0.5
2012,121,서울,0.1
2012,124,서울,1.6
2012,131,서울,3.9
2012,203,서울,0.1
2012,204,서울,0.2
2012,206,서울,0.2
2012,223,서울,0.3
2012,302,서울,0.3
2012,305,서울,7
2012,306,서울,8.5
2012,316,서울,4
2012,317,서울,2
2012,323,서울,22
2012,324,서울,3.5
2012,330,서울,0.1
2012,402,서울,22
2012,403,서울,35
2012,410,서울,10.5
2012,411,서울,3
2012,421,서울,47.5
2012,422,서울,9
2012,425,서울,28
2012,426,서울,2
2012,502,서울,0.4
2012,503,서울,0.2
2012,514,서울,6.5
2012,517,서울,0.5
2012,527,서울,0.3
2012,528,서울,0.1
2012,531,서울,0.2
2012,608,서울,2
2012,612,서울,0.4
2012,629,서울,20
2012,630,서울,69.5
2012,703,서울,25
2012,704,서울,0.3
2012,705,서울,72
2012,706,서울,102.5
2012,710,서울,6.5
2012,711,서울,8
2012,713,서울,76.5
2012,714,서울,8
2012,715,서울,32.5
2012,716,서울,2.5
2012,718,서울,6
2012,719,서울,72.5
2012,720,서울,1
2012,722,서울,16.5
2012,723,서울,1
2012,730,서울,18
2012,731,서울,0.1
2012,810,서울,0.3
2012,812,서울,17
2012,813,서울,2
2012,814,서울,15.5
2012,815,서울,136.5
2012,818,서울,2
2012,819,서울,5
2012,820,서울,59.5
2012,821,서울,137
2012,822,서울,17
2012,823,서울,0.1
2012,824,서울,7.5
2012,825,서울,11.5
2012,828,서울,13.5
2012,829,서울,6
2012,830,서울,34.5
2012,904,서울,55.5
2012,905,서울,10.5
2012,907,서울,3
2012,908,서울,25
2012,912,서울,0.5
2012,913,서울,13.5
2012,914,서울,2
2012,916,서울,2.5
2012,917,서울,85.5
2012,928,서울,13.5
2012,929,서울,0.5
2012,1010,서울,13
2012,1017,서울,2.5
2012,1022,서울,39.5
2012,1027,서울,44
2012,1030,서울,0.1
2012,1031,서울,0.2
2012,1104,서울,4
2012,1105,서울,8
2012,1106,서울,5
2012,1111,서울,28
2012,1112,서울,3
2012,1116,서울,9.5
2012,1117,서울,1.5
2012,1119,서울,5.5
2012,1122,서울,0.3
2012,1125,서울,0.5
2012,1126,서울,1
2012,1128,서울,1
2012,1130,서울,0.5
2012,1203,서울,5.4
2012,1205,서울,5.8
2012,1206,서울,0.1
2012,1207,서울,1.9
2012,1214,서울,18.5
2012,1215,서울,0.5
2012,1221,서울,1.8
2012,1225,서울,1
2012,1229,서울,4.1
2012,1230,서울,2.3
2013,101,서울,3.1
2013,112,서울,0.1
2013,116,서울,0.3
2013,121,서울,16.5
2013,122,서울,0.5
2013,123,서울,1.5
2013,124,서울,0.1
2013,201,서울,46.5
2013,203,서울,7.5
2013,204,서울,7.4
2013,205,서울,4.5
2013,206,서울,2.1
2013,210,서울,1.2
2013,222,서울,3.9
2013,228,서울,1
2013,301,서울,3
2013,307,서울,0.5
2013,312,서울,3.5
2013,313,서울,11.5
2013,317,서울,7.5
2013,318,서울,1
2013,320,서울,0.1
2013,330,서울,0.2
2013,401,서울,0.5
2013,402,서울,8.5
2013,406,서울,14
2013,407,서울,1
2013,408,서울,1
2013,409,서울,0.5
2013,410,서울,1.5
2013,411,서울,0.5
2013,414,서울,3.5
2013,420,서울,9.5
2013,423,서울,5.5
2013,424,서울,0.1
2013,425,서울,4.5
2013,426,서울,0.1
2013,429,서울,21
2013,501,서울,1
2013,502,서울,1
2013,509,서울,2.5
2013,510,서울,22
2013,512,서울,1
2013,518,서울,14.5
2013,519,서울,19.5
2013,527,서울,56.5
2013,528,서울,11.5
2013,529,서울,2.5
2013,604,서울,0.2
2013,611,서울,7
2013,612,서울,6.5
2013,617,서울,0.5
2013,618,서울,12
2013,619,서울,0.1
2013,623,서울,0.3
2013,628,서울,1.5
2013,630,서울,0.2
2013,702,서울,51.5
2013,704,서울,32.5
2013,705,서울,1
2013,707,서울,3
2013,708,서울,68
2013,709,서울,6.5
2013,710,서울,1
2013,711,서울,14
2013,712,서울,74
2013,713,서울,165
2013,714,서울,23
2013,715,서울,3.5
2013,716,서울,1.5
2013,717,서울,18.5
2013,718,서울,26.5
2013,720,서울,1
2013,721,서울,0.5
2013,722,서울,84.5
2013,723,서울,56.5
2013,724,서울,11.5
2013,727,서울,0.2
2013,728,서울,11
2013,729,서울,3.5
2013,730,서울,9.5
2013,731,서울,8.5
2013,802,서울,7.5
2013,803,서울,0.1
2013,804,서울,4.5
2013,805,서울,7
2013,806,서울,45
2013,810,서울,2
2013,816,서울,4.5
2013,818,서울,13
2013,819,서울,6
2013,823,서울,35
2013,829,서울,21.5
2013,831,서울,2.5
2013,910,서울,11.5
2013,911,서울,36.5
2013,912,서울,0.5
2013,913,서울,50
2013,914,서울,11.5
2013,924,서울,4.5
2013,928,서울,4
2013,929,서울,19
2013,930,서울,1
2013,1008,서울,3
2013,1011,서울,6.5
2013,1015,서울,3.5
2013,1029,서울,0.5
2013,1102,서울,7.5
2013,1106,서울,1
2013,1107,서울,0.1
2013,1109,서울,5.5
2013,1114,서울,1
2013,1115,서울,2
2013,1116,서울,2
2013,1117,서울,1
2013,1124,서울,14
2013,1125,서울,9.5
2013,1126,서울,1.5
2013,1127,서울,1.7
2013,1207,서울,0.1
2013,1209,서울,14
2013,1211,서울,2.6
2013,1212,서울,4.1
2013,1214,서울,1.1
2013,1218,서울,0.8
2013,1219,서울,0.3
2013,1226,서울,1.6
2013,1229,서울,0.1
2014,120,서울,5.3
2014,121,서울,0.7
2014,125,서울,3
2014,128,서울,0.5
2014,130,서울,3.5
2014,201,서울,11
2014,202,서울,0.5
2014,208,서울,4.3
2014,209,서울,0.2
2014,210,서울,0.2
2014,309,서울,2.2
2014,312,서울,0.2
2014,317,서울,0.5
2014,318,서울,0.4
2014,320,서울,0.4
2014,329,서울,3.5
2014,403,서울,0.5
2014,417,서울,3
2014,427,서울,8.5
2014,428,서울,13.5
2014,429,서울,5.5
2014,502,서울,1
2014,504,서울,0.2
2014,507,서울,2
2014,508,서울,4
2014,511,서울,23
2014,512,서울,10
2014,515,서울,0.3
2014,525,서울,21
2014,526,서울,1.5
2014,602,서울,2
2014,603,서울,33
2014,610,서울,5.5
2014,611,서울,19
2014,612,서울,0.1
2014,617,서울,3.5
2014,618,서울,0.1
2014,620,서울,1.5
2014,621,서울,8.5
2014,622,서울,0.4
2014,623,서울,24.5
2014,702,서울,20.5
2014,703,서울,2
2014,708,서울,0.2
2014,709,서울,0.5
2014,717,서울,0.2
2014,718,서울,1.5
2014,722,서울,16.5
2014,723,서울,55
2014,724,서울,48
2014,725,서울,59.5
2014,726,서울,2.5
2014,731,서울,1.5
2014,803,서울,13
2014,804,서울,6.5
2014,806,서울,10.5
2014,807,서울,0.2
2014,810,서울,42.5
2014,814,서울,0.5
2014,817,서울,3
2014,818,서울,11.5
2014,819,서울,4.5
2014,820,서울,0.5
2014,821,서울,46.5
2014,822,서울,15
2014,823,서울,0.5
2014,824,서울,0.1
2014,826,서울,11.5
2014,829,서울,6.5
2014,901,서울,1.5
2014,902,서울,6
2014,903,서울,57.5
2014,912,서울,0.1
2014,924,서울,6.5
2014,928,서울,0.5
2014,929,서울,16
2014,1002,서울,9
2014,1016,서울,2.5
2014,1020,서울,21.5
2014,1021,서울,18.5
2014,1026,서울,0.5
2014,1031,서울,0.2
2014,1102,서울,2.5
2014,1106,서울,0.5
2014,1111,서울,2
2014,1112,서울,5
2014,1116,서울,1
2014,1117,서울,1.5
2014,1122,서울,4
2014,1128,서울,18
2014,1130,서울,7
2014,1201,서울,0.5
2014,1203,서울,0.9
2014,1210,서울,2
2014,1211,서울,0.5
2014,1212,서울,0.1
2014,1215,서울,10.5
2014,1219,서울,0.9
2014,1220,서울,2
2014,1222,서울,0.3
2014,1224,서울,0.2
2015,105,서울,0.4
2015,106,서울,3
2015,116,서울,0.3
2015,118,서울,4
2015,119,서울,0.1
2015,125,서울,3
2015,126,서울,0.5
2015,209,서울,0.2
2015,216,서울,10.5
2015,217,서울,0.5
2015,221,서울,8
2015,222,서울,2.5
2015,225,서울,0.5
2015,226,서울,0.5
2015,303,서울,5.5
2015,313,서울,0.1
2015,318,서울,1.5
2015,331,서울,2.5
2015,401,서울,2.5
2015,402,서울,28
2015,403,서울,3.5
2015,405,서울,0.5
2015,413,서울,6.5
2015,414,서울,10.5
2015,415,서울,1
2015,416,서울,7
2015,419,서울,12
2015,420,서울,5.5
2015,429,서울,3.5
2015,502,서울,0.5
2015,503,서울,3.5
2015,511,서울,14
2015,512,서울,9.5
2015,519,서울,1
2015,530,서울,0.4
2015,605,서울,1
2015,611,서울,7.5
2015,612,서울,0.5
2015,613,서울,0.5
2015,614,서울,15.5
2015,617,서울,9.5
2015,618,서울,3
2015,620,서울,44.5
2015,625,서울,2
2015,626,서울,12.5
2015,630,서울,2.5
2015,701,서울,0.5
2015,708,서울,0.5
2015,712,서울,29
2015,713,서울,10
2015,718,서울,0.5
2015,719,서울,5
2015,721,서울,11
2015,722,서울,1
2015,723,서울,16
2015,724,서울,26.5
2015,725,서울,80
2015,726,서울,40.5
2015,727,서울,1.5
2015,729,서울,4
2015,802,서울,16.5
2015,805,서울,0.1
2015,807,서울,11
2015,808,서울,7.5
2015,815,서울,0.1
2015,816,서울,29
2015,820,서울,0.4
2015,821,서울,2.5
2015,825,서울,5.5
2015,828,서울,0.3
2015,902,서울,0.5
2015,903,서울,18
2015,905,서울,5
2015,911,서울,2.5
2015,1001,서울,35
2015,1010,서울,3.5
2015,1011,서울,3.5
2015,1024,서울,10.5
2015,1026,서울,2
2015,1027,서울,26.5
2015,1029,서울,0.5
2015,1106,서울,4.5
2015,1107,서울,24.5
2015,1108,서울,10.5
2015,1109,서울,3.5
2015,1113,서울,22.5
2015,1114,서울,3.5
2015,1116,서울,5.5
2015,1118,서울,5.5
2015,1122,서울,3.5
2015,1123,서울,6.5
2015,1124,서울,0.5
2015,1125,서울,11
2015,1128,서울,0.1
2015,1129,서울,3
2015,1202,서울,13.5
2015,1203,서울,7.1
2015,1210,서울,0.3
2015,1214,서울,2.5
2015,1215,서울,0.1
2015,1221,서울,2
2015,1223,서울,0.4
2015,1226,서울,0.7
2015,1230,서울,2.5
2016,113,서울,0.4
2016,116,서울,0.1
2016,118,서울,0.2
2016,126,서울,0.3
2016,211,서울,0.1
2016,212,서울,18
2016,213,서울,21
2016,214,서울,2.5
2016,216,서울,0.8
2016,223,서울,0.9
2016,227,서울,0.2
2016,228,서울,4.1
2016,304,서울,0.1
2016,305,서울,40
2016,306,서울,0.2
2016,313,서울,0.1
2016,329,서울,0.1
2016,403,서울,2
2016,406,서울,3
2016,407,서울,7.5
2016,413,서울,1
2016,416,서울,23.5
2016,417,서울,20.5
2016,418,서울,1.5
2016,420,서울,0.5
2016,421,서울,17
2016,429,서울,0.3
2016,502,서울,16.5
2016,503,서울,27
2016,505,서울,7.5
2016,506,서울,9.5
2016,510,서울,13.5
2016,513,서울,0.5
2016,515,서울,45
2016,516,서울,2.5
2016,524,서울,38.5
2016,607,서울,0.1
2016,611,서울,3
2016,612,서울,1.5
2016,615,서울,15.5
2016,622,서울,30.5
2016,623,서울,0.1
2016,624,서울,3.5
2016,630,서울,0.2
2016,701,서울,108.5
2016,702,서울,4
2016,704,서울,29.5
2016,705,서울,100.5
2016,712,서울,3
2016,714,서울,0.1
2016,715,서울,1.5
2016,716,서울,46.5
2016,717,서울,2.5
2016,718,서울,0.2
2016,723,서울,0.5
2016,724,서울,0.5
2016,727,서울,0.5
2016,728,서울,0.2
2016,729,서울,59.5
2016,730,서울,0.5
2016,731,서울,0.2
2016,802,서울,2
2016,809,서울,1
2016,814,서울,0.2
2016,816,서울,0.5
2016,819,서울,11.5
2016,822,서울,0.4
2016,823,서울,8
2016,825,서울,4.5
2016,826,서울,20
2016,828,서울,1.5
2016,831,서울,17.5
2016,902,서울,4.5
2016,903,서울,0.5
2016,908,서울,4.5
2016,912,서울,2.5
2016,917,서울,7
2016,927,서울,13.5
2016,928,서울,0.5
2016,1002,서울,18.5
2016,1003,서울,6.5
2016,1007,서울,2
2016,1008,서울,6
2016,1016,서울,1.5
2016,1023,서울,2.5
2016,1025,서울,37
2016,1028,서울,0.3
2016,1031,서울,0.5
2016,1102,서울,0.1
2016,1103,서울,0.2
2016,1107,서울,5.5
2016,1108,서울,0.5
2016,1110,서울,0.4
2016,1111,서울,4
2016,1113,서울,0.5
2016,1114,서울,1.5
2016,1122,서울,0.2
2016,1126,서울,2.8
2016,1130,서울,1
2016,1205,서울,1.5
2016,1208,서울,3
2016,1209,서울,3
2016,1214,서울,0.1
2016,1219,서울,0.1
2016,1221,서울,29
2016,1222,서울,23.5
2016,1223,서울,0.1
2016,1227,서울,0.5
2016,1229,서울,0.3
2017,102,서울,0.3
2017,113,서울,0.6
2017,120,서울,4
2017,121,서울,2.1
2017,126,서울,0.3
2017,127,서울,3
2017,129,서울,4.5
2017,130,서울,0.1
2017,205,서울,0.5
2017,217,서울,4
2017,219,서울,1
2017,220,서울,0.5
2017,222,서울,5.1
2017,301,서울,5
2017,302,서울,0.5
2017,305,서울,0.5
2017,327,서울,0.4
2017,331,서울,1.5
2017,401,서울,1
2017,405,서울,37.5
2017,406,서울,3
2017,408,서울,0.5
2017,409,서울,0.5
2017,414,서울,6
2017,417,서울,5.5
2017,418,서울,7.5
2017,420,서울,0.1
2017,509,서울,2.5
2017,510,서울,2.5
2017,513,서울,6
2017,523,서울,5
2017,524,서울,0.1
2017,606,서울,15.5
2017,607,서울,12.5
2017,609,서울,0.1
2017,610,서울,4.5
2017,624,서울,3.5
2017,625,서울,1.5
2017,626,서울,29
2017,701,서울,0.5
2017,702,서울,92
2017,703,서울,67.5
2017,704,서울,0.5
2017,706,서울,34
2017,707,서울,16.5
2017,708,서울,4.5
2017,709,서울,32.5
2017,710,서울,144.5
2017,711,서울,1
2017,715,서울,42.5
2017,716,서울,22.5
2017,717,서울,7.5
2017,718,서울,2.5
2017,722,서울,0.5
2017,723,서울,133.5
2017,724,서울,3
2017,727,서울,3.5
2017,728,서울,8.5
2017,731,서울,3.5
2017,801,서울,2
2017,806,서울,5
2017,809,서울,2.5
2017,810,서울,5.5
2017,811,서울,0.5
2017,814,서울,1.5
2017,815,서울,93.5
2017,816,서울,2
2017,817,서울,0.5
2017,820,서울,124.5
2017,821,서울,5
2017,823,서울,31.5
2017,824,서울,14
2017,828,서울,9
2017,906,서울,2
2017,910,서울,0.5
2017,911,서울,24
2017,919,서울,8
2017,927,서울,0.5
2017,1001,서울,4
2017,1002,서울,1.5
2017,1006,서울,0.5
2017,1010,서울,0.4
2017,1011,서울,20
2017,1018,서울,0.1
2017,1102,서울,1
2017,1103,서울,1.5
2017,1110,서울,7.5
2017,1113,서울,4.5
2017,1122,서울,0.5
2017,1123,서울,1.2
2017,1125,서울,24
2017,1128,서울,0.5
2017,1203,서울,4
2017,1204,서울,0.1
2017,1205,서울,0.1
2017,1206,서울,1.2
2017,1210,서울,4.1
2017,1218,서울,3.4
2017,1220,서울,0.2
2017,1224,서울,20
2017,1230,서울,0.7
2017,1231,서울,1
2018,108,서울,0.9
2018,109,서울,0.5
2018,110,서울,0.3
2018,113,서울,0.4
2018,115,서울,0.2
2018,122,서울,3.3
2018,130,서울,2.9
2018,203,서울,0.5
2018,222,서울,0.4
2018,223,서울,3.7
2018,228,서울,25
2018,301,서울,0.5
2018,304,서울,11.5
2018,305,서울,3.5
2018,307,서울,0.5
2018,308,서울,4
2018,315,서울,27
2018,318,서울,0.5
2018,319,서울,1
2018,321,서울,1
2018,403,서울,0.1
2018,404,서울,18.5
2018,405,서울,10.5
2018,406,서울,6.5
2018,407,서울,0.2
2018,408,서울,3
2018,410,서울,5
2018,414,서울,9
2018,422,서울,15.5
2018,423,서울,59
2018,424,서울,3
2018,502,서울,12
2018,503,서울,1
2018,506,서울,22
2018,512,서울,32
2018,513,서울,0.5
2018,516,서울,45
2018,517,서울,83
2018,518,서울,6.5
2018,522,서울,12.5
2018,523,서울,6.5
2018,529,서울,1
2018,609,서울,0.5
2018,610,서울,0.5
2018,611,서울,5
2018,614,서울,29
2018,615,서울,16.5
2018,626,서울,71.5
2018,627,서울,1
2018,628,서울,26.5
2018,629,서울,6.5
2018,630,서울,14.5
2018,701,서울,83.5
2018,702,서울,59.5
2018,703,서울,0.1
2018,705,서울,0.5
2018,709,서울,14
2018,710,서울,16.5
2018,711,서울,3
2018,712,서울,1
2018,728,서울,7.5
2018,805,서울,2
2018,806,서울,6.5
2018,809,서울,2
2018,812,서울,5
2018,813,서울,1
2018,815,서울,1
2018,821,서울,5
2018,823,서울,3
2018,824,서울,7.5
2018,826,서울,2
2018,827,서울,19.5
2018,828,서울,96.5
2018,829,서울,42
2018,830,서울,9.5
2018,831,서울,0.1
2018,903,서울,34.5
2018,906,서울,1
2018,907,서울,0.5
2018,914,서울,0.5
2018,915,서울,0.2
2018,916,서울,2
2018,917,서울,0.1
2018,919,서울,0.2
2018,920,서울,5
2018,921,서울,18
2018,922,서울,6.5
2018,1005,서울,36.5
2018,1006,서울,55.5
2018,1010,서울,7
2018,1023,서울,5
2018,1026,서울,11
2018,1028,서울,5.5
2018,1107,서울,2
2018,1108,서울,64
2018,1109,서울,1
2018,1120,서울,0.2
2018,1121,서울,1
2018,1124,서울,10.9
2018,1203,서울,9.5
2018,1204,서울,5
2018,1213,서울,1.3
2018,1216,서울,0.3
2018,1217,서울,0.3
2019,201,서울,0.3
2019,203,서울,16
2019,207,서울,0.5
2019,215,서울,2.2
2019,216,서울,0.2
2019,219,서울,4.6
2019,315,서울,3.5
2019,320,서울,16.5
2019,321,서울,3.3
2019,323,서울,1.7
2019,330,서울,1.8
2019,406,서울,0.8
2019,409,서울,17.4
2019,410,서울,5.6
2019,414,서울,1.7
2019,420,서울,1.2
2019,421,서울,0.3
2019,424,서울,4.1
2019,425,서울,11.3
2019,426,서울,4.9
2019,519,서울,22
2019,520,서울,8.7
2019,527,서울,7.1
2019,606,서울,7.5
2019,607,서울,35.3
2019,609,서울,2.5
2019,610,서울,9.5
2019,615,서울,2.1
2019,618,서울,13.8
2019,619,서울,0.2
2019,621,서울,0.2
2019,627,서울,1.4
2019,629,서울,1.5
2019,710,서울,8.5
2019,711,서울,2.9
2019,715,서울,7.7
2019,716,서울,6.3
2019,717,서울,0.7
2019,720,서울,1.1
2019,721,서울,6.2
2019,722,서울,0.1
2019,724,서울,1
2019,725,서울,9.7
2019,726,서울,60
2019,727,서울,0.6
2019,728,서울,25.6
2019,729,서울,0.5
2019,730,서울,1.2
2019,731,서울,62.3
2019,801,서울,26.9
2019,803,서울,3
2019,804,서울,8.6
2019,807,서울,8
2019,811,서울,6.7
2019,812,서울,56.2
2019,813,서울,6.4
2019,815,서울,16.2
2019,816,서울,0.1
2019,821,서울,1.3
2019,827,서울,20
2019,829,서울,36.9
2019,830,서울,0.2
2019,904,서울,22.7
2019,905,서울,36.4
2019,906,서울,2.4
2019,907,서울,2.8
2019,910,서울,63.2
2019,911,서울,7.6
2019,912,서울,3.9
2019,913,서울,0.1
2019,914,서울,0.3
2019,922,서울,0.4
2019,1002,서울,23.1
2019,1003,서울,4.6
2019,1005,서울,0.6
2019,1007,서울,25.4
2019,1028,서울,1.7
2019,1029,서울,0.1
2019,1110,서울,11.8
2019,1111,서울,1.1
2019,1113,서울,7.5
2019,1115,서울,18.8
2019,1117,서울,21.1
2019,1118,서울,14.7
2019,1124,서울,3.8
2019,1201,서울,3.3
2019,1203,서울,0.6
2019,1207,서울,0.1
2019,1210,서울,1.7
2019,1211,서울,0.2
2019,1213,서울,1
2019,1217,서울,9.8
2019,1221,서울,0.6
2019,1222,서울,0.3
2019,1223,서울,2.9
2019,1226,서울,0.3
2019,1229,서울,1.4
2019,1230,서울,0.4
2020,101,서울,0.1
2020,106,서울,1.8
2020,107,서울,46.3
2020,108,서울,11.6
2020,119,서울,0.6
2020,127,서울,0.1
2020,204,서울,1.7
2020,212,서울,6.7
2020,215,서울,2
2020,216,서울,13.4
2020,217,서울,1
2020,221,서울,4.2
2020,222,서울,3.1
2020,225,서울,16.6
2020,228,서울,3.9
2020,229,서울,0.5
2020,301,서울,0.2
2020,310,서울,11.8
2020,313,서울,0.5
2020,326,서울,1.8
2020,327,서울,2
2020,417,서울,6.5
2020,419,서울,10.3
2020,420,서울,0.1
2020,508,서울,2.3
2020,509,서울,24.4
2020,510,서울,1.3
2020,511,서울,3.4
2020,512,서울,0.7
2020,515,서울,12
2020,516,서울,2.5
2020,518,서울,29.8
2020,519,서울,19
2020,524,서울,14.5
2020,526,서울,1.5
2020,531,서울,1
2020,601,서울,0.4
2020,602,서울,2
2020,604,서울,0.2
2020,610,서울,6.2
2020,614,서울,1.1
2020,619,서울,0.1
2020,624,서울,37.6
2020,625,서울,13.3
2020,626,서울,2.1
2020,629,서울,11.9
2020,630,서울,64.7
2020,703,서울,0.1
2020,704,서울,1.6
2020,710,서울,2.2
2020,712,서울,2.9
2020,713,서울,47.6
2020,714,서울,11.5
2020,719,서울,29.1
2020,720,서울,3.6
2020,722,서울,11.5
2020,723,서울,103.1
2020,724,서울,2.9
2020,727,서울,2.2
2020,728,서울,0.4
2020,729,서울,50.1
2020,730,서울,0.1
2020,731,서울,1.5
2020,801,서울,39.1
2020,802,서울,31.4
2020,803,서울,102.6
2020,804,서울,3.9
2020,805,서울,18.5
2020,806,서울,75.7
2020,808,서울,19.1
2020,809,서울,50.3
2020,810,서울,44.6
2020,811,서울,97
2020,814,서울,0.4
2020,815,서울,69
2020,821,서울,2.5
2020,822,서울,42.6
2020,826,서울,0.6
2020,827,서울,8.7
2020,828,서울,13.6
2020,829,서울,13.6
2020,830,서울,42.5
2020,902,서울,33.3
2020,903,서울,29.8
2020,906,서울,6.4
2020,907,서울,61
2020,909,서울,1.3
2020,910,서울,3.9
2020,911,서울,1.2
2020,912,서울,5.7
2020,916,서울,0.3
2020,919,서울,0.3
2020,930,서울,38.3
2020,1101,서울,13.6
2020,1102,서울,1.7
2020,1103,서울,0.5
2020,1107,서울,0.1
2020,1117,서울,0.1
2020,1118,서울,12.2
2020,1119,서울,86.9
2020,1121,서울,0.2
2020,1122,서울,4.8
2020,1213,서울,2.9
2020,1218,서울,0.2
2020,1228,서울,1.3
2020,1229,서울,0.2
2021,106,서울,2.3
2021,112,서울,2.6
2021,115,서울,0.2
2021,118,서울,0.3
2021,121,서울,9.2
2021,122,서울,0.1
2021,126,서울,1.7
2021,128,서울,2
2021,130,서울,0.5
2021,201,서울,0.7
2021,203,서울,3.4
2021,204,서울,0.1
2021,215,서울,1.4
2021,216,서울,1.5
2021,301,서울,67.5
2021,302,서울,0.1
2021,315,서울,1.7
2021,316,서울,1.3
2021,320,서울,5.1
2021,321,서울,0.3
2021,327,서울,25.5
2021,328,서울,9.2
2021,329,서울,0.2
2021,403,서울,56.2
2021,404,서울,0.6
2021,412,서울,22
2021,413,서울,8
2021,416,서울,0.7
2021,427,서울,1.7
2021,428,서울,4.7
2021,429,서울,3.9
2021,430,서울,26.3
2021,501,서울,8
2021,502,서울,1.7
2021,504,서울,19.6
2021,505,서울,0.1
2021,507,서울,8.8
2021,515,서울,15
2021,516,서울,66.9
2021,517,서울,3.1
2021,520,서울,0.9
2021,521,서울,6.9
2021,522,서울,0.2
2021,525,서울,8.3
2021,527,서울,8.9
2021,528,서울,12.3
2021,529,서울,0.3
2021,530,서울,18.1
2021,531,서울,4
2021,601,서울,3.2
2021,603,서울,18.1
2021,608,서울,0.1
2021,610,서울,6.1
2021,611,서울,4.6
2021,615,서울,1.9
2021,618,서울,6.3
2021,623,서울,7.5
2021,626,서울,4.5
2021,627,서울,38.2
2021,628,서울,0.1
2021,629,서울,8
2021,630,서울,6
2021,703,서울,60
2021,704,서울,21.4
2021,707,서울,12.7
2021,708,서울,2.9
2021,710,서울,0.5
2021,711,서울,0.4
2021,719,서울,67.4
2021,731,서울,3
2021,801,서울,21
2021,802,서울,1.7
2021,808,서울,12.7
2021,817,서울,9.3
2021,818,서울,5.6
2021,821,서울,62.8
2021,823,서울,7.4
2021,824,서울,10.5
2021,825,서울,0.3
2021,826,서울,0.7
2021,827,서울,0.9
2021,829,서울,0.9
2021,831,서울,77.4
2021,901,서울,0.8
2021,906,서울,12
2021,907,서울,29.6
2021,908,서울,1.6
2021,921,서울,68.1
2021,922,서울,4.5
2021,928,서울,1.3
2021,929,서울,13.1
2021,1001,서울,13.3
2021,1004,서울,3.6
2021,1006,서울,6.4
2021,1007,서울,4.6
2021,1008,서울,3.5
2021,1009,서울,0.4
2021,1010,서울,14.2
2021,1011,서울,0.3
2021,1018,서울,5.6
2021,1019,서울,4.4
2021,1031,서울,0.7
2021,1108,서울,25.7
2021,1109,서울,2
2021,1110,서울,0.3
2021,1121,서울,5.9
2021,1122,서울,1.3
2021,1130,서울,27.2
2021,1202,서울,0.1
2021,1203,서울,0.4
2021,1210,서울,0.7
